lookup,label,count,frames,Experiment_replicate,Spoke,Tape_meas_dist,X_cor,Y_cor,area_mm2,spores_mm2_new,min_dist_dis
P1-B7,R2-2-F_8.25,37,2,R2,2,8.25,-1.36,8.2782688,0.337,109.7922849,2.1
P1-A7,R2-2-E_5.07,1,2,R2,2,5.07,-0.847,5.1487407,0.337,2.96735905,1.3
P1-H6,R2-2-D_3.14,3,2,R2,2,3.14,-0.527,3.2023037,0.337,8.902077151,0.8
P1-G6,R2-2-C_1.93,3,2,R2,2,1.93,-0.328,1.9917004,0.337,8.902077151,0.5
P1-F6,R2-2-B_1.15,3,2,R2,2,1.15,-0.204,1.2387552,0.337,8.902077151,0.3
P1-E6,R2-2-A_0.69,0,2,R2,2,0.69,-0.127,0.7704545,0.337,0,0.2
P1-F7,R2-1-A_0.4,151,2,R2,2,0.4,-0.0789,0.4791908,0.337,448.0712166,0.2
P1-D6,R2-4-J_34.94,4,2,R2,4,34.94,5.66,34.4076527,0.337,11.8694362,8.9
P1-C6,R2-4-I_21.7,4,2,R2,4,21.7,3.52,21.4001363,0.337,11.8694362,5.6
P1-B6,R2-4-H_13.34,2,2,R2,4,13.34,2.19,13.3099993,0.337,5.934718101,3.5
P1-A6,R2-4-G_8.29,6,2,R2,4,8.29,1.36,8.2782688,0.337,17.8041543,2.1
P1-H5,R2-4-F_5.1,0,2,R2,4,5.1,0.847,5.1487407,0.337,0,1.3
P1-G5,R2-4-E_3.15,10,2,R2,4,3.15,0.527,3.2023037,0.337,29.6735905,0.8
P1-F5,R2-4-D_1.93,0,2,R2,4,1.93,0.328,1.9917004,0.337,0,0.5
P1-E5,R2-4-C_1.17,1,2,R2,4,1.17,0.204,1.2387552,0.337,2.96735905,0.3
P1-D5,R2-4-B_0.7,13,2,R2,4,0.7,0.127,0.7704545,0.337,38.57566766,0.2
P1-C5,R2-4-A_3.7,4,2,R2,4,0.37,0.0789,0.4791908,0.337,11.8694362,0.2
P1-B5,R2-5-I_27.54,4,2,R2,5,27.54,8.81,26.0499476,0.337,11.8694362,8.9
P1-A5,R2-5-H_17.1,4,2,R2,5,17.1,5.48,16.2019895,0.337,11.8694362,5.6
P1-G4,R2-5-F_6.58,32,2,R2,5,6.58,3.41,10.0769671,0.337,94.95548961,3.5
P1-H4,R2-5-G_6.1,1,2,R2,5,6.1,2.12,6.2674566,0.337,2.96735905,2.1
P1-F4,R2-5-E_1.5,1,2,R2,5,4.1,1.32,3.8980987,0.337,2.96735905,1.3
P1-E4,R2-5-D_2.52,5,2,R2,5,2.52,0.82,2.4244561,0.337,14.83679525,0.8
P1-D4,R2-5-C_1.57,25,2,R2,5,1.57,0.51,1.5079114,0.337,74.18397626,0.5
P1-C4,R2-5-B_0.97,20,2,R2,5,0.97,0.317,0.9378585,0.337,59.34718101,0.3
P1-B4,R2-5-A_0.6,7,2,R2,5,0.6,0.197,0.5833092,0.337,20.77151335,0.2
